 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     Wing                                    
     # Chordwise = 20   # Spanwise = 20     First strip =  1
     Surface area =    0.456020       Ave. chord =    0.456020
     CLsurf  =   0.46022     Clsurf  =  -0.09772
     CYsurf  =   0.00775     Cmsurf  =  -0.10238
     CDsurf  =   0.02052     Cnsurf  =   0.00884
     CDisurf =   0.02052     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.92050     CDsurf  =   0.04105
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
     1   0.0250   0.4999   0.0250   0.5225   0.0091   1.0484   1.0484   0.0377   0.0000  -0.2817  -0.5430    0.519
     2   0.0750   0.4999   0.0250   0.5217   0.0093   1.0468   1.0468   0.0379   0.0000  -0.2816  -0.5425    0.519
     3   0.1250   0.4999   0.0250   0.5201   0.0098   1.0436   1.0436   0.0382   0.0000  -0.2814  -0.5415    0.520
     4   0.1750   0.4999   0.0250   0.5176   0.0108   1.0387   1.0387   0.0387   0.0000  -0.2811  -0.5399    0.521
     5   0.2250   0.4999   0.0250   0.5143   0.0128   1.0320   1.0320   0.0392   0.0000  -0.2806  -0.5377    0.522
     6   0.2750   0.4999   0.0250   0.5099   0.0166   1.0233   1.0233   0.0399   0.0000  -0.2798  -0.5348    0.523
     7   0.3261   0.4999   0.0261   0.5044   0.0238   1.0123   1.0123   0.0407   0.0000  -0.2787  -0.5310    0.525
     8   0.3784   0.4999   0.0261   0.4974   0.0382   0.9984   0.9984   0.0414   0.0000  -0.2771  -0.5259    0.528
     9   0.4306   0.4999   0.0261   0.4889   0.0663   0.9813   0.9813   0.0420   0.0000  -0.2747  -0.5191    0.530
    10   0.4828   0.4999   0.0261   0.4782   0.1139   0.9600   0.9600   0.0423   0.0000  -0.2709  -0.5100    0.532
    11   0.5351   0.4999   0.0261   0.4647   0.1629   0.9328   0.9328   0.0415   0.0000  -0.2646  -0.4970    0.534
    12   0.5856   0.4888   0.0238   0.4472   0.1606   0.9292   0.9183   0.0429   0.0000  -0.2641  -0.4928    0.538
    13   0.6343   0.4666   0.0227   0.4190   0.1274   0.9122   0.9015   0.0443   0.0000  -0.2641  -0.4886    0.543
    14   0.6831   0.4443   0.0217   0.3885   0.1064   0.8881   0.8776   0.0450   0.0000  -0.2619  -0.4804    0.548
    15   0.7318   0.4221   0.0206   0.3559   0.0924   0.8566   0.8465   0.0451   0.0000  -0.2577  -0.4685    0.554
    16   0.7806   0.3999   0.0195   0.3213   0.0836   0.8162   0.8066   0.0449   0.0000  -0.2516  -0.4524    0.562
    17   0.8294   0.3777   0.0184   0.2840   0.0796   0.7640   0.7550   0.0442   0.0000  -0.2429  -0.4308    0.572
    18   0.8781   0.3555   0.0173   0.2428   0.0807   0.6943   0.6862   0.0428   0.0000  -0.2299  -0.4007    0.585
    19   0.9269   0.3332   0.0162   0.1951   0.0888   0.5953   0.5883   0.0397   0.0000  -0.2086  -0.3550    0.605
    20   0.9756   0.3110   0.0152   0.1326   0.1135   0.4338   0.4287   0.0325   0.0000  -0.1652  -0.2718    0.635

  Surface # 2     Wing (YDUP)                             
     # Chordwise = 20   # Spanwise = 20     First strip = 21
     Surface area =    0.456020       Ave. chord =    0.456020
     CLsurf  =   0.46022     Clsurf  =   0.09772
     CYsurf  =  -0.00775     Cmsurf  =  -0.10238
     CDsurf  =   0.02052     Cnsurf  =  -0.00884
     CDisurf =   0.02052     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.92050     CDsurf  =   0.04105
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
    21  -0.0250   0.4999   0.0250   0.5225   0.0091   1.0484   1.0484   0.0377   0.0000  -0.2817   0.5430    0.519
    22  -0.0750   0.4999   0.0250   0.5217   0.0093   1.0468   1.0468   0.0379   0.0000  -0.2816   0.5425    0.519
    23  -0.1250   0.4999   0.0250   0.5201   0.0098   1.0436   1.0436   0.0382   0.0000  -0.2814   0.5415    0.520
    24  -0.1750   0.4999   0.0250   0.5176   0.0108   1.0387   1.0387   0.0387   0.0000  -0.2811   0.5399    0.521
    25  -0.2250   0.4999   0.0250   0.5143   0.0128   1.0320   1.0320   0.0392   0.0000  -0.2806   0.5377    0.522
